Batch 197, DSC Scores: [0.9993812640586589, 0.5907255003188678]
Batch 198, DSC Scores: [0.9993014098616899, 0.28389913338111683]
Batch 199, DSC Scores: [0.9992414094271875, 0.5578519356158121]
Batch 200, DSC Scores: [0.9996203280860932, 0.020523395689104926]
Batch 201, DSC Scores: [0.9994748112913245, 0.7506482379202273]
Batch 202, DSC Scores: [0.9991141362392295, 0.6458809944005055]
Batch 203, DSC Scores: [0.9997690869235712, 0.6271265907568654]
Batch 204, DSC Scores: [0.999803053895257, 0.6474969963956748]
Batch 205, DSC Scores: [0.9997740825214299, 0.2742599780734244]
Batch 206, DSC Scores: [0.9995877972696102, 0.5031963922890134]
Batch 207, DSC Scores: [0.9998046925954954, 0.8119136074554499]
Batch 208, DSC Scores: [0.9994169438766094, 0.6005179430262672]
Batch 209, DSC Scores: [0.9990709680320757, 0.6132679241027376]
Batch 210, DSC Scores: [0.9997846904354678, 0.7428212553644326]
Batch 211, DSC Scores: [0.9997858261589125, 0.6751246699911998]
Batch 212, DSC Scores: [0.9997061427014833, 0.6552206536945187]
Batch 213, DSC Scores: [0.9997092428870215, 0.5723273095760851]
Batch 214, DSC Scores: [0.9997761010921768, 0.023208469055374593]
Batch 215, DSC Scores: [0.9997274220906317, 0.5384849671496323]
Batch 216, DSC Scores: [0.9998519293119335, 0.8066180171112229]
Batch 217, DSC Scores: [0.9998487806629747, 0.7367017730969204]
Batch 218, DSC Scores: [0.9995738522420385, 0.0]
Batch 219, DSC Scores: [0.9993991098897096, 0.5960801732274721]
Batch 220, DSC Scores: [0.9997009420372395, 0.7347486679608443]
Batch 221, DSC Scores: [0.9997339225023486, 0.6608112540544481]
Batch 222, DSC Scores: [0.9996652411134802, 0.3550284161106993]
Batch 223, DSC Scores: [0.999611862920814, 0.6277237220775661]
Batch 224, DSC Scores: [0.9997708739594894, 0.7344623200677391]
Batch 225, DSC Scores: [0.9994959114076799, 0.453125856117473]
Batch 226, DSC Scores: [0.9996091125686788, 0.3314684862400155]
Batch 227, DSC Scores: [0.9994549302112384, 0.5583095508033934]
Batch 228, DSC Scores: [0.999816247202936, 0.8049642122077842]
Batch 229, DSC Scores: [0.9997110864320478, 0.8617406563865139]
Batch 230, DSC Scores: [0.999469246899034, 0.46996958945767864]
Batch 231, DSC Scores: [0.9996880534418116, 0.18698023786103907]
Batch 232, DSC Scores: [0.9994785955138495, 0.8265448984427165]
Batch 233, DSC Scores: [0.9994867867876241, 0.7731126965746516]
Batch 234, DSC Scores: [0.9997111609893291, 0.7185113581440309]
Batch 235, DSC Scores: [0.9994418318348866, 0.8618347181675275]
Batch 236, DSC Scores: [0.9993894881267, 0.4229835446452657]
Batch 237, DSC Scores: [0.9997544927367692, 0.04659498207885305]
Batch 238, DSC Scores: [0.9996963316949647, 0.785326224076161]
Batch 239, DSC Scores: [0.999829128290266, 0.8314065349416941]
Batch 240, DSC Scores: [0.9997100571414926, 0.5694149233695044]
Batch 241, DSC Scores: [0.99974472137551, 0.44319293357441386]
Batch 242, DSC Scores: [0.9995700773405652, 0.623006812570771]
Batch 243, DSC Scores: [0.9997918633578807, 0.7462857454406674]
Batch 244, DSC Scores: [0.9991796922877636, 0.48309999272074344]
Batch 245, DSC Scores: [0.9996129365464809, 0.6671351193090324]
Batch 246, DSC Scores: [0.9993828017654515, 0.4948781604762708]
Batch 247, DSC Scores: [0.9995670065941465, 0.5163553885955275]
Batch 248, DSC Scores: [0.9996364703721784, 0.41966523002906686]
Batch 249, DSC Scores: [0.9995095929515119, 0.6719028010777286]
Batch 250, DSC Scores: [0.9997788537652534, 0.76348406428766]
Batch 251, DSC Scores: [0.9998485794111273, 0.844530299778207]
Batch 252, DSC Scores: [0.999120528934699, 0.2724580454096742]
Batch 253, DSC Scores: [0.9996506687610058, 0.845371271076524]
Batch 254, DSC Scores: [0.999209346337442, 0.26492053194939996]
Batch 255, DSC Scores: [0.9995748837585352, 0.8537535938664679]
Batch 256, DSC Scores: [0.9996914473445657, 0.7245845787934304]
Batch 257, DSC Scores: [0.9995879839394233, 0.7635550824906865]
Batch 258, DSC Scores: [0.9996351647010573, 0.6106807360700038]
Batch 259, DSC Scores: [0.9992885829423394, 0.6708303232271445]
Batch 260, DSC Scores: [0.9995775094050183, 0.799177553220832]
Batch 261, DSC Scores: [0.9996901967316035, 0.6759024390243903]
Batch 262, DSC Scores: [0.9996849076127168, 0.8486091482541105]
Batch 263, DSC Scores: [0.999226957187817, 0.5569927243330639]
Batch 264, DSC Scores: [0.9996516787077816, 0.17357815085026174]
Batch 265, DSC Scores: [0.9995265534967342, 0.6083839229642035]
Batch 266, DSC Scores: [0.9998651890716773, 0.7630833866106493]
Batch 267, DSC Scores: [0.9998281301645168, 0.7274964654134157]
Batch 268, DSC Scores: [0.9997189436555975, 0.4745510762278511]
Batch 269, DSC Scores: [0.999729789491661, 0.8896665364295785]
Batch 270, DSC Scores: [0.999655430292895, 0.7471480582524271]
Batch 271, DSC Scores: [0.9997381411210311, 0.8266190719020907]
Batch 272, DSC Scores: [0.9995251769328239, 0.5360028456730525]
Batch 273, DSC Scores: [0.9995216792977311, 0.8057813154587348]
Batch 274, DSC Scores: [0.9990196312578603, 0.4763659861666228]
Batch 275, DSC Scores: [0.9985313212883897, 0.5296615147090906]
Batch 276, DSC Scores: [0.9997010598782071, 0.653880002070715]
Batch 277, DSC Scores: [0.9992552550483816, 0.2663074630287745]
Batch 278, DSC Scores: [0.9997755069651048, 0.7031819752043911]
Batch 279, DSC Scores: [0.9998081389530842, 0.6340195882470517]
Batch 280, DSC Scores: [0.999698926331449, 0.4361038178453062]
Batch 281, DSC Scores: [0.999694481090623, 0.4993350474332831]
Batch 282, DSC Scores: [0.9994965971498325, 0.7828339443148423]
Batch 283, DSC Scores: [0.9995528599525613, 0.6257607750589989]
Batch 284, DSC Scores: [0.9995134148620536, 0.5828685454456239]
Batch 285, DSC Scores: [0.9997417872693186, 0.6046094580233794]
Batch 286, DSC Scores: [0.9991829710103467, 0.026679649464459592]
Batch 287, DSC Scores: [0.9997290431646101, 0.785020666301479]
Batch 288, DSC Scores: [0.9995690263676168, 0.622314239705544]
Batch 289, DSC Scores: [0.9994303668114115, 0.6740965545382673]
Batch 290, DSC Scores: [0.9990480012246908, 0.16962060758784825]
Batch 291, DSC Scores: [0.9997329293964047, 0.8003890780240395]
Batch 292, DSC Scores: [0.9987242533073932, 0.4061030103480715]
Batch 293, DSC Scores: [0.9996938450446825, 0.4938623584382672]
Batch 294, DSC Scores: [0.9997051683921298, 0.8584069108869353]
Batch 295, DSC Scores: [0.9995082893722465, 0.5376821152347263]
Batch 296, DSC Scores: [0.9996929276598008, 0.5885730971384077]
Batch 297, DSC Scores: [0.999756278745141, 0.6241960471339374]
Batch 298, DSC Scores: [0.9994253775098352, 0.5746220797068254]
Batch 299, DSC Scores: [0.9997212615237057, 0.6892047870724743]
Batch 300, DSC Scores: [0.999586241238864, 0.7275975335676829]
Batch 301, DSC Scores: [0.9996815714921428, 0.6515578856555065]
Batch 302, DSC Scores: [0.9987773140925981, 0.4155774245100513]
Batch 303, DSC Scores: [0.9996938579894438, 0.7757222877358491]
Batch 304, DSC Scores: [0.9998095481314473, 0.7770152999919895]
Batch 305, DSC Scores: [0.9995638109498336, 0.7207066877087988]
Batch 306, DSC Scores: [0.999680461621822, 0.18136043211571912]
Batch 307, DSC Scores: [0.9987687859951637, 0.7117924027330336]
Batch 308, DSC Scores: [0.9994270337814776, 0.800403324171803]
Batch 309, DSC Scores: [0.9995779725995814, 0.506606474344858]
Batch 310, DSC Scores: [0.9996217427112769, 0.7636144883485309]
Batch 311, DSC Scores: [0.9998623110719296, 0.8330095786723826]
Batch 312, DSC Scores: [0.9996470467463131, 0.7684741488020177]
Batch 313, DSC Scores: [0.9995757179684053, 0.6778858350951374]
Batch 314, DSC Scores: [0.9993647926226977, 0.5173302778573474]
Batch 315, DSC Scores: [0.9987277186073517, 0.18909815456141182]
Batch 316, DSC Scores: [0.9994882863556838, 0.4004134160165366]
Batch 317, DSC Scores: [0.9997718942714087, 0.7636011529454152]
Batch 318, DSC Scores: [0.9994820196522132, 0.2867459269044474]
Batch 319, DSC Scores: [0.9996532734411024, 0.4043871566320952]
Batch 320, DSC Scores: [0.9999118775788238, 0.8652729140892029]
Batch 321, DSC Scores: [0.9994061514206587, 0.4167651089165052]
Batch 322, DSC Scores: [0.9994994414610312, 0.5986742317847312]
Batch 323, DSC Scores: [0.9993648394810921, 0.29295660402866025]
Batch 324, DSC Scores: [0.9996984239643253, 0.5211218664681062]
Batch 325, DSC Scores: [0.9994035355888351, 0.5247056872823744]
Batch 326, DSC Scores: [0.9995115635272688, 0.4067101867314407]
Batch 327, DSC Scores: [0.9994128867569502, 0.4444132115249473]
